-3.92 | good:1 invoke:1 song:1 annoying:1 feelings:1 does:1 not:1 actually:1 The:1 extremely:1 quite:1 happy:1 
-3.99 | and:1 love:1 just:1 period:1 have:1 cramps:1 working:1 when:1 Especially:1 I:1 break:1 awful:1 a:1 on:1 for:1 anything:1 hours:1 without:1 my:1 or:1 
-2.22 | a:1 great:1 run:1 thing:1 is:1 start:1 morning:1 to:1 train:1 way:1 in:1 the:1 Having:1 day:1 first:1 
-0.56 | end:1 had:1 haha:1 should:1 at:1 have:1 the:1 
-1.09 | RT:1 always:1 National:1 Indians:1 Bee:1 American:1 winners:1 are:1 The:1 where:1 Spelling:1 
-1.27 | and:1 be:1 school:1 last:1 to:1 for:1 everything:1 these:1 of:1 is:1 that:1 days:1 due:1 few:1 going:1 excited:1 Really:1 
-0.7 | it:1 Sunday:1 have:1 productive:1 reply:1 Great:1 never:1 al:1 chirp:1 Fun:1 day:1 a:1 about:1 like:1 Day:1 guilt:1 Sounds:1 
-2.02 | count:1 on:1 says:1 I:1 Rion:1 me:1 how:1 she:1 mom:1 love:1 more:1 my:1 than:1 can:1 
-2.46 | me:1 sister:1 food:1 My:1 fueling:1 she:1 my:1 hid:1 where:1 tell:1 anorexia:1 
-3.61 | and:1 enjoy:1 tasks:1 people:1 doing:1 Question:1 back:1 assigned:1 are:1 SUCK:1 Do:1 everything:1 going:1 I:1 they:1 correcting:1 why:1 must:1 assume:1 the:1 at:1 
-0.94 | Hes:1 makin:1 Hmm:1 it:1 me:1 fan:1 a:1 wins:1 n:1 race:1 truck:1 w:1 the:1 Its:1 singlehandedly:1 
-3.51 | a:1 on:1 C:1 Just:1 that:1 big:1 above:1 noted:1 
-3.2 | about:1 gods:1 just:1 offer:1 Literally:1 up:1 stress:1 to:1 child:1 born:1 my:1 the:1 first:1 
0.0 | dad:1 of:1 It:1 graduation:1 to:1 so:1 party:1 come:1 my:1 was:1 nice:1 
-2.87 | Omg:1 almost:1 6k:1 at:1 tweets:1 guys:1 
2.52 | and:1 just:1 Literally:1 up:1 picked:1 We:1 for:1 Season:1 how:1 2:1 7:1 6:1 got:1 more:1 we:1 here:1 seasons:1 come:1 did:1 of:1 Yes:1 
-2.45 | and:1 back:1 in:1 out:1 irony:1 how:1 much:1 care:1 ripped:1 I:1 put:1 a:1 lawn:1 rocks:1 while:1 the:1 my:1 
-2.3 | and:1 a:1 lol:1 whole:1 nutrients:1 ginger:1 detoxifying:1 down:1 other:1 treat:1 lot:1 of:1 orange:1 Went:1 Mint:1 
-2.33 | office:1 is:1 back:1 in:1 Wooo:1 out:1 from:1 holding:1 American:1 mad:1 walsham:1 a:1 us:1 night:1 
0.32 | a:1 on:1 Oh:1 fell:1 the:1 
-1.82 | like:1 oxygen:1 I:1 cuz:1 live:1 without:1 you:1 
-3.54 | sister:1 ever:1 is:1 met:1 snitch:1 biggest:1 the:1 my:1 
-2.79 | and:1 have:1 laptop:1 When:1 it:1 at:1 want:1 in:1 to:1 going:1 intently:1 means:1 I:1 why:1 staring:1 about:1 headphones:1 Minneapolis:1 my:1 talk:1 
-2.81 | start:1 favourite:1 extremely:1 angry:1 up:1 Waking:1 to:1 way:1 the:1 my:1 is:1 day:1 
-1.36 | on:1 set:1 disapproving:1 shenanigans:1 poster:1 of:1 our:1 grumpy:1 movie:1 making:1 
-3.03 | 10:1 that:1 of:1 to:1 at:1 in:1 table:1 the:1 came:1 
-2.58 | me:1 this:1 someone:1 love:1 for:1 I:1 twitter:1 Oh:1 when:1 how:1 know:1 button:1 follow:1 the:1 tells:1 clicked:1 
-3.02 | clash:1 this:1 back:1 to:1 see:1 come:1 of:1 clans:1 onto:1 nice:1 
-3.44 | again:1 keeping:1 never:1 anything:1 that:1 I:1 dangerous:1 is:1 safe:1 find:1 it:1 so:1 something:1 Why:1 can:1 
-1.67 | leaders:1 my:1 matters:1 in:1 opinion:1 Ticket:1 cause:1 order:1 
-2.87 | talking:1 love:1 to:1 just:1 Oh:1 I:1 days:1 for:1 how:1 2:1 not:1 my:1 boyfriend:1 
-3.4 | neighbors:1 because:1 love:1 house:1 ready:1 sleep:1 go:1 clearly:1 from:1 when:1 to:1 music:1 I:1 but:1 hear:1 inside:1 can:1 my:1 
