3.4 | have:1 information:1 opened:1 literally:1 doors:1 ever:1 more:1 business:1 I:1 2my:1 da:1 The:1 than:1 he:1 me:1 bargained4:1 success:1 was:1 could:1 n:1 gave:1 
-2.4 | is:1 as:1 in:1 Today:1 out:1 bathroom:1 window:1 finally:1 polyfilled:1 About:1 that:1 Karbul:1 hole:1 day:1 a:1 Just:1 inviting:1 i:1 of:1 looked:1 tour:1 the:1 Brb:1 
-2.2 | is:1 sign:1 oldest:1 for:1 to:1 been:1 This:1 passed:1 reminder:1 ever:1 that:1 I:1 a:1 on:1 read:1 work:1 drive:1 Canyon:1 Thanks:1 Laurel:1 the:1 my:1 
3.2 | ME:1 AND:1 ABOUT:1 CANT:1 FOR:1 I:1 UP:1 DOWN:1 JUMPING:1 5:1 TOO:1 LITERALLY:1 WAS:1 MINUTES:1 MGDSGRH:1 WAIT:1 
-2.2 | collecting:1 school:1 people:1 stamp:1 where:1 Welcome:1 appreciate:1 to:1 cheer:1 much:1 about:1 my:1 as:1 
-2.6 | and:1 secretly:1 I:1 fucking:1 state:1 are:1 church:1 think:1 
-3.8 | a:1 HERE:1 Like:1 CAN:1 Freedom:1 Frog:1 Their:1 Surrendering:1 Americans:1 Proverbial:1 IT:1 in:1 Incrementally:1 Frying:1 the:1 HAPPEN:1 Pan:1 are:1 
-2.8 | Catholic:1 kids:1 be:1 militant:1 atheists:1 so:1 our:1 raising:1 
-3.8 | a:1 about:1 bill:1 dollar:1 as:1 3:1 fake:1 You:1 
-2.4 | and:1 heart:1 mind:1 it:1 beats:1 xtra:1 sitted:1 shouting:1 literally:1 to:1 body:1 do:1 get:1 but:1 awake:1 refuses:1 myself:1 up:1 so:1 my:1 
-1.2 | Firm:1 door:1 Launch:1 Cybersecurity:1 NSA:1 proverbial:1 to:1 Chief:1 Private:1 revolving:1 The:1 Keith:1 Former:1 Alexander:1 
-3.4 | just:1 seen:1 serial:1 shit:1 exactly:1 Most:1 Ripper:1 Jack:1 Not:1 has:1 ever:1 good:1 remembered:1 killer:1 guy:1 a:1 this:1 Ah:1 country:1 notorious:1 the:1 
-1.0 | understudy:1 Excuses:1 are:1 have:1 in:1 any:1 if:1 there:1 to:1 you:1 speak:1 evening:1 early:1 So:1 The:1 apprentice:1 this:1 so:1 the:1 
